[2019-08-22 22:36:21,842] TRACE [Controller id=0] All leaders = tdn-systrk-0 -> (Leader:0,ISR:0,LeaderEpoch:0,ControllerEpoch:1) (kafka.controller.KafkaController)
[2019-08-22 22:36:23,307] INFO [ControllerEventThread controllerId=0] Shutting down (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:36:23,308] INFO [ControllerEventThread controllerId=0] Stopped (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:36:23,308] INFO [ControllerEventThread controllerId=0] Shutdown completed (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:36:23,309] DEBUG [Controller id=0] Resigning (kafka.controller.KafkaController)
[2019-08-22 22:36:23,311] DEBUG [Controller id=0] Unregister BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2019-08-22 22:36:23,320] INFO [PartitionStateMachine controllerId=0] Stopped partition state machine (kafka.controller.PartitionStateMachine)
[2019-08-22 22:36:23,326] INFO [ReplicaStateMachine controllerId=0] Stopped replica state machine (kafka.controller.ReplicaStateMachine)
[2019-08-22 22:36:23,329] INFO [RequestSendThread controllerId=0] Shutting down (kafka.controller.RequestSendThread)
[2019-08-22 22:36:23,329] INFO [RequestSendThread controllerId=0] Stopped (kafka.controller.RequestSendThread)
[2019-08-22 22:36:23,329] INFO [RequestSendThread controllerId=0] Shutdown completed (kafka.controller.RequestSendThread)
[2019-08-22 22:36:23,338] INFO [Controller id=0] Resigned (kafka.controller.KafkaController)
[2019-08-22 22:36:49,615] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=kafka.controller (kafka.controller)
[2019-08-22 22:37:10,752] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2019-08-22 22:37:10,851] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 13 and epoch zk version is now 13 (kafka.controller.KafkaController)
[2019-08-22 22:37:10,852] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2019-08-22 22:37:10,858] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2019-08-22 22:37:10,870] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2019-08-22 22:37:10,879] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2019-08-22 22:37:10,920] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 801) (kafka.controller.KafkaController)
